Viewers,Away,Home,Date,Network
3.76M,Tennessee,Oklahoma,9/13/14,ABC
3.28M,Arkansas,Texas Tech,9/13/14,ABC
6.40M,West Virginia,Alabama,8/30/14,ABC
12.80M,Alabama,Missouri,12/6/14,CBS
4.40M,Arkansas,Missouri,11/28/14,CBS
5.16M,Mississippi State,Ole Miss,11/29/14,CBS
3.34M,Ole Miss,Arkansas,11/22/14,CBS
10.27M,Mississippi State,Alabama,11/15/14,CBS
9.11M,Alabama,LSU,11/8/14,CBS
7.21M,Texas A&M,Auburn,11/8/14,CBS
5.71M,Florida,Georgia,11/1/14,CBS
5.00M,Mississippi State,Kentucky,10/25/14,CBS
4.20M,Texas A&M,Alabama,10/18/14,CBS
6.00M,Auburn,Mississippi State,10/11/14,CBS
2.99M,Georgia,Missouri,10/11/14,CBS
5.92M,Alabama,Ole Miss,10/4/14,CBS
4.38M,Arkansas,Texas A&M,9/27/14,CBS
7.95M,Florida,Alabama,9/20/14,CBS
6.77M,Georgia,South Carolina,9/13/14,CBS
2.91M,LSU,Texas A&M,11/27/14,ESPN
13.53M,Auburn,Alabama,11/29/14,ESPN
5.96M,Florida,FSU,11/29/14,ESPN
2.02M,South Carolina,Clemson,11/29/14,ESPN
3.32M,Missouri,Tennessee,11/22/14,ESPN
4.61M,Auburn,Georgia,11/15/14,ESPN
2.74M,Georgia,Kentucky,11/8/14,ESPN
5.80M,Auburn,Ole Miss,11/1/14,ESPN
4.95M,Ole Miss,LSU,10/25/14,ESPN
2.70M,Tennessee,Ole Miss,10/18/14,ESPN
4.09M,Ole Miss,Texas A&M,10/11/14,ESPN
3.65M,Alabama,Arkansas,10/11/14,ESPN
4.10M,Texas A&M,Mississippi State,10/4/14,ESPN
3.74M,LSU,Auburn,10/4/14,ESPN
4.72M,Tennessee,Georgia,9/27/14,ESPN
3.38M,Missouri,South Carolina,9/27/14,ESPN
3.85M,Auburn,Kansas St.,9/18/14,ESPN
3.47M,Mississippi State,LSU,9/20/14,ESPN
1.23M,Missouri,Toledo,9/6/14,ESPN
1.13M,Ole Miss,Vanderbilt,9/6/14,ESPN
2.42M,Boise St.,Ole Miss,8/28/14,ESPN
4.68M,Wisconsin,LSU,8/30/14,ESPN
3.95M,Clemson,Georgia,8/30/14,ESPN
809K,Kentucky,Louisville,11/29/14,ESPN2
1.85M,LSU,Arkansas,11/15/14,ESPN2
2.30M,Arkansas,Mississippi State,11/1/14,ESPN2
2.59M,Alabama,Tennessee,10/25/14,ESPN2
1.16M,Missouri,Florida,10/18/14,ESPN2
1.78M,Southern Miss,Alabama,9/13/14,ESPN2
956K,Rice,Texas A&M,9/13/14,ESPN2
1.02M,San Jose St.,Auburn,9/6/14,ESPN2
185K,Mississippi State,So. Alabama,9/13/14,ESPNEWS
818K,Samford,Auburn,11/22/14,ESPNU
510K,N. Illinois,Arkansas,9/20/14,ESPNU
709K,UL-Monroe,LSU,9/13/14,ESPNU
976K,ECU,South Carolina,9/6/14,ESPNU
537K,Ohio,Kentucky,9/6/14,ESPNU
423K,Idaho,Florida,8/30/14,ESPNU
373K,S. Dakota St.,Missouri,8/30/14,ESPNU
