Viewers,School,Opponent,Date,Network
11.093M,Alabama,Florida,12/3/16,CBS
2.774M,LSU,Texas A&M,11/24/16,ESPN
2.498M,Arkansas,Missouri,11/25/16,CBS
8.242M,Auburn,Alabama,11/26/16,CBS
6.437M,Florida,FSU,11/26/16,ABC
2.656M,South Carolina,Clemson,11/26/16,ESPN
1.564M,Kentucky,Louisville,11/26/16,ESPN
2.453M,Missouri,Tennessee,11/19/16,CBS
2.449M,Va. Tech,Notre Dame,11/19/16,NBC
2.437M,Alabama,Chattanooga,11/19/16,ESPN2
715K,Arkansas,Mississippi State,11/19/16,ESPNU
277K,Texas A&M,UTSA,11/19/16,ESPNU
4.992M,Auburn,Georgia,11/12/16,CBS
3.257M,Mississippi State,Alabama,11/12/16,ESPN
2.450M,South Carolina,Florida,11/12/16,CBS
2.351M,LSU,Arkansas,11/12/16,ESPN
10.385M,Alabama,LSU,11/5/16,CBS
4.261M,Florida,Arkansas,11/5/16,CBS
2.057M,Vanderbilt,Auburn,11/5/16,ESPN
209K,Ga. Southern,Ole Miss,11/5/16,ESPNU
4.454M,Florida,Georgia,10/29/16,CBS
1.519M,Tennessee,South Carolina,10/29/16,ESPN2
193K,Texas A&M,N. Mexico St.,10/29/16,ESPNU
8.455M,Texas A&M,Alabama,10/22/16,CBS
2.669M,Ole Miss,LSU,10/22/16,ESPN
2.130M,Arkansas,Auburn,10/22/16,ESPN
152K,Tennessee,Vanderbilt,10/22/16,ESPNU
1.475M,Mississippi State,BYU,10/14/16,ESPN
185K,Memphis,Tulane,10/14/16,ESPNU
8.964M,Ohio State,Wisconsin,10/15/16,ABC
6.582M,Alabama,Tennessee,10/15/16,CBS
2.540M,Ole Miss,Arkansas,10/15/16,ESPN
6.553M,Tennessee,Texas A&M,10/8/16,CBS
4.444M,Alabama,Arkansas,10/8/16,ESPN
1.918M,Auburn,Mississippi State,10/8/16,ESPN
4.215M,Georgia,Tennessee,10/1/16,CBS
3.190M,Kentucky,Alabama,10/1/16,ESPN
566K,Memphis,Ole Miss,10/1/16,ESPN2
5.542M,Florida,Tennessee,9/24/16,CBS
4.098M,LSU,Auburn,9/24/16,ESPN
3.872M,Arkansas,Texas A&M,9/24/16,ESPN
2.696M,Georgia,Ole Miss,9/24/16,ESPN
8.169M,Alabama,Ole Miss,9/17/16,CBS
2.088M,Texas A&M,Auburn,9/17/16,ESPN
1.191M,Mississippi State,LSU,9/17/16,ESPN2
543K,Florida,North Texas,9/17/16,ESPNU
5.790M,Tennessee,Va. Tech,9/10/16,ABC
2.517M,Kentucky,Florida,9/10/16,CBS
2.470M,Arkansas,TCU,9/10/16,ESPN
2.467M,Alabama,W. Kentucky,9/10/16,ESPN2
1.426M,South Carolina,Mississippi State,9/10/16,ESPN2
800K,LSU,Jacksonville St.,9/10/16,ESPNU
